Award Ceremony,year_film,year_award,ceremony,category,nominee,film,win
Golden Globes,1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Ali MacGraw,Love Story,True
Golden Globes,1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Puzzle of a Downfall Child,False
Golden Globes,1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Women In Love,False
Golden Globes,1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Melina Mercouri,Promise at Dawn,False
Golden Globes,1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Sarah Miles,Ryan's Daughter,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,George C. Scott,Patton,True
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Melvyn Douglas,I Never Sang For My Father,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,James Earl Jones,"Great White Hope, The",False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Five Easy Pieces,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Ryan O'Neal,Love Story,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Albert Finney,Scrooge,True
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Benjamin,Diary of a Mad Housewife,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Elliott Gould,M*A*S*H,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,"Out-of-Towners, The",False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald Sutherland,M*A*S*H,False
Golden Globes,1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Karen Black,Five Easy Pieces,True
Golden Globes,1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Airport,True
Golden Globes,1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,"Landlord, The",False
Golden Globes,1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sally Kellerman,M*A*S*H,False
Golden Globes,1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tina Chen,"Hawaiians, The",False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Mills,Ryan's Daughter,True
Golden Globes,1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chief Dan George,Little Big Man,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,Trevor Howard,Ryan's Daughter,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Kennedy,Airport,False
Golden Globes,1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Marley,Love Story,False
Golden Globes,1970,1971,28,Best Director - Motion Picture,Arthur Hiller,Love Story,True
Golden Globes,1970,1971,28,Best Director - Motion Picture,Robert Altman,M*A*S*H,False
Golden Globes,1970,1971,28,Best Director - Motion Picture,Bob Rafelson,Five Easy Pieces,False
Golden Globes,1970,1971,28,Best Director - Motion Picture,Ken Russell,Women In Love,False
Golden Globes,1970,1971,28,Best Director - Motion Picture,Franklin J. Schaffner,Patton,False
Golden Globes,1970,1971,28,Best Screenplay - Motion Picture,Erich Segal,Love Story,True
Golden Globes,1970,1971,28,Best Screenplay - Motion Picture,Leslie Bricusse,Scrooge,False
Golden Globes,1970,1971,28,Best Screenplay - Motion Picture,Carole Eastman,Five Easy Pieces,False
Golden Globes,1970,1971,28,Best Screenplay - Motion Picture,John Cassavetes,Husbands,False
Golden Globes,1970,1971,28,Best Screenplay - Motion Picture,Ring Lardner Jr.,M*A*S*H,False
Golden Globes,1970,1971,28,Best Original Score - Motion Picture,Francis Lai,Love Story,True
